OrderNumber,EventStartTime,EventName,TicketType,OrganizationCategoryName,OrganizationName,OrganizationZipCode,OrganizationState,Quantity,OrganizationCity,School District,School Type
101056433,4/21/2023,Gallery Lessons,12th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,-3,PA,Unaffiliated,Charter
101082345,4/21/2023,Admission,Adult,PreK-12 Free,Cristo Rey Philadelphia High School,19343,Philadelphia,2,Pennsylvania,Unaffiliated,Catholic
101082345,4/21/2023,Admission,11th Grade Student,PreK-12 Free,Cristo Rey Philadelphia High School,19343,Philadelphia,20,Pennsylvania,Unaffiliated,Catholic
101082347,4/21/2023,Admission,Adult,PreK-12,Woodstown High School,8098,Woodstown,2,New Jersey,Woodstown-Pilesgrove Regional SD,Public
101082347,4/21/2023,Admission,10th Grade Student,PreK-12,Woodstown High School,8098,Woodstown,8,New Jersey,Woodstown-Pilesgrove Regional SD,Public
101082347,4/21/2023,Admission,11th Grade Student,PreK-12,Woodstown High School,8098,Woodstown,8,New Jersey,Woodstown-Pilesgrove Regional SD,Public
101082347,4/21/2023,Admission,12th Grade Student,PreK-12,Woodstown High School,8098,Woodstown,9,New Jersey,Woodstown-Pilesgrove Regional SD,Public
101082347,4/21/2023,Admission,Adult,PreK-12,Woodstown High School,8098,Woodstown,-2,New Jersey,Woodstown-Pilesgrove Regional SD,Public
101082347,4/21/2023,Admission,10th Grade Student,PreK-12,Woodstown High School,8098,Woodstown,-8,New Jersey,Woodstown-Pilesgrove Regional SD,Public
101082347,4/21/2023,Admission,11th Grade Student,PreK-12,Woodstown High School,8098,Woodstown,-8,New Jersey,Woodstown-Pilesgrove Regional SD,Public
101082347,4/21/2023,Admission,12th Grade Student,PreK-12,Woodstown High School,8098,Woodstown,-9,New Jersey,Woodstown-Pilesgrove Regional SD,Public
101088901,4/21/2023,Gallery Lessons,Adult,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,1,PA,Unaffiliated,Charter
101088901,4/21/2023,Gallery Lessons,10th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,2,PA,Unaffiliated,Charter
101088901,4/21/2023,Gallery Lessons,11th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,2,PA,Unaffiliated,Charter
101088901,4/21/2023,Gallery Lessons,12th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,3,PA,Unaffiliated,Charter
101088901,4/21/2023,Gallery Lessons,Adult,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,1,PA,Unaffiliated,Charter
101088901,4/21/2023,Gallery Lessons,12th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,-1,PA,Unaffiliated,Charter
101088901,4/21/2023,Gallery Lessons,Adult,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,-2,PA,Unaffiliated,Charter
101088901,4/21/2023,Gallery Lessons,10th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,-2,PA,Unaffiliated,Charter
101088901,4/21/2023,Gallery Lessons,11th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,-2,PA,Unaffiliated,Charter
101088901,4/21/2023,Gallery Lessons,12th Grade Student + Special Exhibition,PreK-12 Free,William Penn Charter School,19144-5412,Philadelphia,-2,PA,Unaffiliated,Charter
101120123,4/24/2023,Admission,Adult,PreK-12,Raritan HS,7730,Hazlet,2,Pennsylvania,Hazlet Board of Education,Public
101120123,4/24/2023,Admission,11th Grade Student,PreK-12,Raritan HS,7730,Hazlet,6,Pennsylvania,Hazlet Board of Education,Public
101120123,4/24/2023,Admission,12th Grade Student,PreK-12,Raritan HS,7730,Hazlet,6,Pennsylvania,Hazlet Board of Education,Public
101120123,4/24/2023,Admission,Adult,PreK-12,Raritan HS,7730,Hazlet,2,Pennsylvania,Hazlet Board of Education,Public
