OrderNumber,EventStartTime,EventName,TicketType,OrganizationCategoryName,OrganizationName,OrganizationZipCode,OrganizationState,Quantity,OrganizationCity,School District,School Type
101070405,3/31/2023,Admission,11th Grade Student,PreK-12 Free,Philadelphia High School for Girls,19141,Philadelphia,10,Pennsylvania,Philadelphia City SD,Public
101070405,3/31/2023,Admission,12th Grade Student,PreK-12 Free,Philadelphia High School for Girls,19141,Philadelphia,10,Pennsylvania,Philadelphia City SD,Public
101070405,3/31/2023,Admission,Adult,PreK-12 Free,Philadelphia High School for Girls,19141,Philadelphia,1,Pennsylvania,Philadelphia City SD,Public
100979244,4/6/2023,Gallery Lessons,Adult,PreK-12,Woodland Middle School,8007,Barrington,2,New Jersey,Barrnington Public SD,Public
100979244,4/6/2023,Gallery Lessons,5th Grade Student + Special Exhibition,PreK-12,Woodland Middle School,8007,Barrington,5,New Jersey,Barrnington Public SD,Public
100979244,4/6/2023,Gallery Lessons,6th Grade Student + Special Exhibition,PreK-12,Woodland Middle School,8007,Barrington,5,New Jersey,Barrnington Public SD,Public
100979244,4/6/2023,Gallery Lessons,7th Grade Student + Special Exhibition,PreK-12,Woodland Middle School,8007,Barrington,5,New Jersey,Barrnington Public SD,Public
100979244,4/6/2023,Gallery Lessons,8th Grade Student + Special Exhibition,PreK-12,Woodland Middle School,8007,Barrington,5,New Jersey,Barrnington Public SD,Public
100979244,4/6/2023,Gallery Lessons,5th Grade Student + Special Exhibition,PreK-12,Woodland Middle School,8007,Barrington,-2,New Jersey,Barrnington Public SD,Public
100979244,4/6/2023,Gallery Lessons,6th Grade Student + Special Exhibition,PreK-12,Woodland Middle School,8007,Barrington,-2,New Jersey,Barrnington Public SD,Public
100979244,4/6/2023,Gallery Lessons,7th Grade Student + Special Exhibition,PreK-12,Woodland Middle School,8007,Barrington,-2,New Jersey,Barrnington Public SD,Public
100979244,4/6/2023,Gallery Lessons,8th Grade Student + Special Exhibition,PreK-12,Woodland Middle School,8007,Barrington,-1,New Jersey,Barrnington Public SD,Public
100953215,4/11/2023,Gallery Lessons,Adult,PreK-12 Free,Laura H. Carnell School,19111-5826,Philadelphia,6,PA,Philadelphia City SD,Public
100953215,4/11/2023,Gallery Lessons,3rd Grade Student + Special Exhibition,PreK-12 Free,Laura H. Carnell School,19111-5826,Philadelphia,60,PA,Philadelphia City SD,Public
100953215,4/11/2023,Gallery Lessons,Adult,PreK-12 Free,Laura H. Carnell School,19111-5826,Philadelphia,-6,PA,Philadelphia City SD,Public
100953215,4/11/2023,Gallery Lessons,3rd Grade Student + Special Exhibition,PreK-12 Free,Laura H. Carnell School,19111-5826,Philadelphia,-60,PA,Philadelphia City SD,Public
101073421,4/11/2023,Gallery Lessons,Adult,PreK-12,Princeton Charter School,8540,Princeton,4,New Jersey,Unaffiliated,Charter
101073421,4/11/2023,Gallery Lessons,8th Grade Student + Special Exhibition,PreK-12,Princeton Charter School,8540,Princeton,50,New Jersey,Unaffiliated,Charter
101087601,4/11/2023,Gallery Lessons,Adult,PreK-12 Free,Vare-Washington School,19147-5203,Philadelphia,4,PA,Philadelphia City SD,Public
101087601,4/11/2023,Gallery Lessons,7th Grade Student + Special Exhibition,PreK-12 Free,Vare-Washington School,19147-5203,Philadelphia,45,PA,Philadelphia City SD,Public
100953215,5/24/2023,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Laura H. Carnell School,19111-5826,Philadelphia,-2,PA,Philadelphia City SD,Public
100953215,5/24/2023,PreK-12 In-School Post-Visit Lessons,3rd Grade Student,PreK-12 Free,Laura H. Carnell School,19111-5826,Philadelphia,-60,PA,Philadelphia City SD,Public
100976694,2/22/2023,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Stephen Girard School,19145,Philadelphia,3,Pennsylvania,Philadelphia City SD,Public
100976694,2/22/2023,PreK-12 In-School Post-Visit Lessons,3rd Grade Student,PreK-12 Free,Stephen Girard School,19145,Philadelphia,37,Pennsylvania,Philadelphia City SD,Public
101009646,4/12/2023,Gallery Lessons,Adult,PreK-12 Free,Julia R. Masterman School,19130-3913,Philadelphia,4,PA,Philadelphia City SD,Public
101009646,4/12/2023,Gallery Lessons,6th Grade Student,PreK-12 Free,Julia R. Masterman School,19130-3913,Philadelphia,66,PA,Philadelphia City SD,Public
100977428,4/13/2023,Gallery Lessons,Adult,PreK-12,The Grayson School,19343,Radnor,3,Pennsylvania,Unaffiliated,Private
100977428,4/13/2023,Gallery Lessons,9th Grade Student + Special Exhibition,PreK-12,The Grayson School,19343,Radnor,14,Pennsylvania,Unaffiliated,Private
100977428,4/13/2023,Gallery Lessons,10th Grade Student + Special Exhibition,PreK-12,The Grayson School,19343,Radnor,14,Pennsylvania,Unaffiliated,Private
100977428,4/13/2023,Gallery Lessons,Adult,PreK-12 Free,The Grayson School,19343,Radnor,-3,Pennsylvania,Unaffiliated,Private
100977428,4/13/2023,Gallery Lessons,9th Grade Student + Special Exhibition,PreK-12 Free,The Grayson School,19343,Radnor,-14,Pennsylvania,Unaffiliated,Private
100977428,4/13/2023,Gallery Lessons,10th Grade Student + Special Exhibition,PreK-12 Free,The Grayson School,19343,Radnor,-14,Pennsylvania,Unaffiliated,Private
100984329,4/13/2023,Gallery Lessons,Adult,PreK-12 Free,The Grayson School,19343,Radnor,3,Pennsylvania,Unaffiliated,Private
100984329,4/13/2023,Gallery Lessons,9th Grade Student + Special Exhibition,PreK-12 Free,The Grayson School,19343,Radnor,14,Pennsylvania,Unaffiliated,Private
100984329,4/13/2023,Gallery Lessons,10th Grade Student + Special Exhibition,PreK-12 Free,The Grayson School,19343,Radnor,14,Pennsylvania,Unaffiliated,Private
100984329,4/13/2023,Gallery Lessons,Adult,PreK-12,The Grayson School,19343,Radnor,-3,Pennsylvania,Unaffiliated,Private
