school_id,school_code,school_name,principal_name,sector,network,network_from_pdf,city_council_district,grades_served,admission_category,report_type,enrollment_oct1,students_served_full_year,pct_american_indian,pct_asian,pct_black,pct_hispanic,pct_multiracial,pct_pacific_islander,pct_white,pct_iep,pct_english_learners,pct_economically_disadvantaged,student_attendance_2324,teacher_attendance_2324,pct_attend_95plus,pct_attend_90plus,dropouts_2324,graduation_rate_2324,keystone_algebra_2324,keystone_biology_2324,keystone_literature_2324,pssa_grade3_reading,pssa_grade3_8_reading,pssa_grade3_math,pssa_grade3_8_math,pssa_science,nocti_2324,pdf_url
3366,3366,Maritime Academy Charter School,"Matthew Wilson
Sector Charter",Charter,Charters,Charters,District 6,K-12,Citywide,High School,827,,0.1,4.0,14.9,35.7,11.3,0.1,34.0,,10.3,94.9,63.1,,33.1,63.1,6.0,88.5,24.1,15.5,36.2,33.3,27.7,28.1,15.5,48.0,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3366%5D_SP_SPREE_SPOTlight.pdf
3368,3368,Belmont Elementary Charter School,,Charter,Charters,Charters,District 3,K-12,Catchment,High School,938,,0.1,0.3,94.2,2.1,2.8,0.0,0.4,,1.3,94.6,,,19.3,45.8,,,3.2,4.9,23.8,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3368%5D_SP_SPREE_SPOTlight.pdf
3370,3370,KIPP Philadelphia Charter School,Stephanie White,Charter,Charters,Charters,District 5,K-8,Citywide,High School,864,881.0,0.2,0.1,91.0,3.7,4.6,0.0,0.4,30.2,0.4,87.4,,,33.7,64.4,,,,,,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3370%5D_SP_SPREE_SPOTlight.pdf
3372,3372,The Jacquelyn Y. Kelley Discovery Charter School,"Rene Garner
Sector Charter",Charter,Charters,Charters,District 4,K-8,Citywide,High School,610,636.0,0.0,0.8,93.8,1.3,3.8,0.0,0.3,13.8,0.5,85.9,77.0,,52.7,77.0,1.0,,,,,32.8,34.9,25.0,10.1,33.1,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3372%5D_SP_SPREE_SPOTlight.pdf
3378,3378,Philadelphia Montessori Charter School,"Joseph Sbarra
Sector Charter",Charter,Charters,Charters,District 2,K-4,Citywide,High School,261,277.0,0.4,0.0,92.0,3.5,3.1,0.0,1.2,27.2,6.9,92.7,54.9,,24.6,54.9,23.0,,,,,21.4,15.9,9.5,6.8,52.2,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3378%5D_SP_SPREE_SPOTlight.pdf
3379,3379,Ad Prima Charter School,"Niya Blackwell
Sector Charter",Charter,Charters,Charters,District 4,K-8,Citywide,High School,583,607.0,0.2,0.9,92.6,1.9,3.8,0.0,0.7,22.1,1.9,100.0,79.2,,49.6,79.2,5.0,,,,,27.7,36.8,20.0,20.3,43.9,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3379%5D_SP_SPREE_SPOTlight.pdf
3383,3383,Mastery Charter School at Shoemaker,Derrick Cartwright,Charter,Charters,Charters,District 4,7-12,Citywide,High School,750,,6.5,0.3,87.6,2.8,2.0,0.1,0.7,,2.3,94.3,,,40.6,67.7,,,23.2,12.1,37.4,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3383%5D_SP_SPREE_SPOTlight.pdf
3384,3384,Folk Arts-Cultural Treasures Charter School,"Ellen Somekawa
Sector Charter",Charter,Charters,Charters,District 1,K-8,Citywide,High School,495,510.0,0.2,67.7,8.7,6.9,6.7,0.0,9.9,20.6,38.2,50.3,88.8,,72.4,88.8,0.0,,,,,43.4,63.3,72.2,55.0,67.0,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3384%5D_SP_SPREE_SPOTlight.pdf
3385,3385,Mastery Charter School at Thomas Campus,Peter Langer and Owen Riccardi,Charter,Charters,Charters,District 1,K-12,Citywide,High School,1357,,2.6,17.2,29.0,37.7,4.5,0.0,9.1,,24.4,90.7,,,55.9,81.1,,,49.0,53.4,70.3,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3385%5D_SP_SPREE_SPOTlight.pdf
3386,3386,Northwood Academy Charter School,"Diana Abellard
Sector Charter",Charter,Charters,Charters,District 7,K-8,Citywide,High School,672,709.0,0.2,3.0,64.9,21.4,6.7,0.0,3.9,18.9,6.6,97.0,75.0,,43.2,75.0,1.0,,,,,27.3,30.7,18.8,11.0,44.1,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3386%5D_SP_SPREE_SPOTlight.pdf
